id,mass,timestep,x,y,z,x,y,z,
1,10.360256,0,6655.53638333282,498.498340085181,23.3652856359891,0.0759066404987607,-219.666469252372,9.76622889969455,
2,7.959045,0,6655.12367132038,499.19307404435,22.9278908000338,0.311351833248357,-219.748892050454,9.52308331432664,
3,6.485306,0,6654.70846751467,499.66744657232,23.685515620437,0.319886095554873,-219.797671847183,9.48175173806513,
4,5.476281,0,6655.05762370372,499.540326713213,23.5763776493363,0.32941388266231,-220.309912005285,9.60276129549586,
5,5.1344,0,6654.03311551919,499.538246010248,24.0678518845192,-0.126116784627108,-220.507852934158,9.73106963501338,
6,4.945388,0,6655.06615986311,499.800466689842,23.841483081483,0.0505081995087125,-218.98057652041,10.3594221573664,
7,4.802975,0,6653.51230498759,499.956573185741,24.2476409842033,0.0031420302841614,-220.401053009312,10.210300250326,
8,4.512315,0,6655.27486128865,500.037153936965,23.679560690534,0.419646611724677,-220.734561958952,9.7903097467697,
9,4.117568,0,6655.41961446207,499.770300568522,23.8536352100486,-0.556384531029751,-220.55197999606,9.504509106744,
10,3.902224,0,6655.00982531097,500.403913057922,24.5027658066623,-0.322738795340351,-219.614763545019,9.50066928572241,
11,3.664999,0,6654.88070606543,499.618519272581,24.0365019449184,0.112345500712695,-219.81885893072,10.3354875442539,
12,3.483121,0,6655.44095445751,499.486697210163,24.3889442427877,0.222070746739805,-220.126442965031,10.8915626726656,
13,3.305911,0,6654.879792552,498.533532123228,22.7728133877656,-0.249586190172773,-220.080803105039,10.4425680988867,
14,3.172498,0,6655.20546299371,499.922505692468,25.5277318913869,0.1029302197288,-220.564808991429,9.98422161626128,
15,2.997139,0,6654.83213134708,500.103366253063,24.4363116728684,-0.642555340573085,-220.208408121257,10.0866223094249,
16,2.762822,0,6654.15216468599,499.405157126223,23.5647509382145,-0.0155444946255679,-220.080642248172,10.2774974243223,
17,2.667298,0,6654.57026309907,500.111702572572,24.0989020198934,-0.460509797649833,-218.896932710743,10.0583638445198,
18,2.426048,0,6655.20922873323,499.775098147076,23.3784733525777,-0.918977035548666,-219.965772320041,9.97836967200452,
19,2.062285,0,6655.08997646658,500.164809264867,24.2642099632513,0.855879604475878,-220.468711824698,9.54379706082726,
20,2.030871,0,6655.70943096507,500.392378342569,24.2299774876548,-0.88853330287101,-220.551188410153,10.1578463048017,
21,1.900863,0,6654.96005687066,500.104287542183,24.035305190868,0.0098280663207768,-219.004223185622,9.72974287127744,
22,1.851381,0,6654.47496530502,502.230551043141,25.3033064673395,0.27396330560718,-220.250266604961,10.1127586811269,
23,1.728448,0,6654.37855838133,499.67550588668,23.3933855811697,0.10310574261583,-220.008687276042,9.25638589715354,
24,1.546941,0,6655.34144812689,500.124288656451,24.2222176951361,-0.625725070068122,-219.401076592578,10.4072134879891,
25,1.476942,0,6654.64548443136,499.693301057972,24.3732296438852,0.246116770793464,-220.393871772156,9.85256746502705,
26,1.473904,0,6655.65915841621,500.446783213629,23.8401928825159,0.126116293989299,-220.449628756056,9.37404197674317,
27,1.459134,0,6655.42260122768,500.252588912184,24.2939786941985,-0.431036938881656,-219.834073743304,10.2087112905187,
28,1.44669,0,6654.98944880134,499.988327408848,24.9161050240784,-0.223594076940556,-220.285113176893,10.6181825967957,
29,1.424403,0,6655.34833423953,500.011045607296,23.4273217614555,0.408236304351522,-219.222935718177,9.44285279117288,
30,1.379852,0,6654.70411274419,500.274282428668,23.5350425246193,-0.358990282642693,-220.100417453537,10.1488476622669,
31,1.374076,0,6654.97603135086,500.417400222712,24.2014782151079,0.32400389855384,-220.372280354787,10.1696656958542,
32,1.292642,0,6654.77180193793,500.426620842147,23.5120840653976,0.615894191666406,-219.801001778165,9.78886228528882,
33,1.291744,0,6655.71917467812,500.06234480843,24.5822180601933,0.157500783096653,-219.138805052699,10.4426488933026,
34,1.272046,0,6655.103221811,500.499394265453,23.8536902838971,0.295661991036178,-220.774896573764,10.3384380922399,
35,1.264003,0,6655.31767183246,499.858567622263,22.94018194334,-0.295225321351695,-220.316535833109,9.96621410668247,
36,1.255688,0,6655.12721537106,499.51192074299,23.8926109029515,0.481359513603968,-219.666410351221,10.1392896780966,
37,1.231991,0,6655.41362211137,499.690369921979,24.5411455621503,-0.552414550511817,-219.996396192953,10.7435426370903,
38,1.229114,0,6655.24924137799,500.292559482769,24.1605657849871,-0.533771270341075,-220.402159936975,10.1685537036561,
39,1.226594,0,6655.36753292732,500.381371320361,24.1451779599506,-0.946752630844282,-219.225422777783,9.55556791278241,
40,1.219564,0,6655.54346006545,500.124267993237,24.1316992492563,0.344199260432475,-219.374275073311,10.6727906714727,
41,1.207072,0,6654.87645622922,500.255640804219,24.2739266931305,-0.625848990086381,-219.997859099308,10.2810243380576,
42,1.185781,0,6655.43438334818,500.182067726896,24.1941425924058,0.927209711756297,-220.044037156976,9.41430687293835,
43,1.181673,0,6655.0721731056,500.392342230018,24.2160548077303,-0.489604117484369,-219.990158211241,11.2381370279868,
44,1.16567,0,6655.05136608295,500.356127284721,23.8724104921992,0.7111226688797,-219.198495351682,10.1619377472876,
45,1.163287,0,6654.79103323958,500.440349371248,25.6248550783415,-0.354651443861577,-220.432959652516,9.21161486117567,
46,1.049003,0,6655.62039086063,500.60877408083,23.2378819430022,0.195867867392063,-220.260161783953,9.59717548193969,
47,1.041232,0,6654.60612891175,500.900005344298,23.9642637245236,0.234338588510864,-220.183023924082,9.56639003455903,
48,1.025733,0,6654.9510376961,499.918534785777,24.1926044762116,0.813501704986489,-219.516397184692,10.1796207458843,
49,1.014278,0,6655.35120645588,499.919008670316,23.5459032189743,-0.624039822929894,-219.274666005347,9.97268693278062,
50,0.993687,0,6655.81222720305,501.590694706027,24.3632678270478,0.314366877722059,-220.299140252864,10.197654908101,
51,0.981241,0,6652.91139411624,497.615762516047,24.750584050006,0.213325660910226,-220.253763122927,9.80304679696111,
52,0.980499,0,6654.59320239846,500.375342076752,25.0001047724946,0.296075713691519,-219.673096665557,10.5658907714466,
53,0.980356,0,6655.01293406951,500.306791415586,24.471439967536,0.644005062006839,-219.656775883797,11.0018090322209,
54,0.971547,0,6655.3670515142,499.852568148747,23.5699337346274,0.850391203882806,-220.045877547491,10.3625179589832,
55,0.930572,0,6655.33996915387,500.67104436695,24.1897218851883,-0.352585360193393,-219.945522676863,9.72804639568799,
