Angle,Mass,OCV,OCV Err,OFV,OFV Err
180,640,0.00310743,0.00000084,0.00826,0.00022
180,1600,0.00310694,0.00000036,0.00814,0.00017
180,4000,0.00310659,0.00000046,0.0083,0.00026
180,10000,0.00310572,0.00000094,0.00827,0.0002
180,25000,0.004132217,0.00000008,0.00823,0.00024
25,640,0.00316207,0.00000076,0.002124,0.000015
25,1600,0.00315911,0.00000084,0.002133,0.000016
25,4000,0.0031645,0.0000007,0.0021225,0.0000096
25,10000,0.00315688,0.00000034,0.002133,0.000013
25,25000,0.00315863,0.00000021,0.002125,0.000012
10,640,0.0029074,0.0000027,0.003193,0.000014
10,1600,0.0029064,0.0000025,0.003193,0.000012
10,4000,0.0029064,0.0000012,0.0031919,0.0000097
10,10000,0.00290469,0.00000084,0.003195,0.000013
10,25000,0.002904,0.00000063,0.0031957,0.0000092
5,640,0.0026192,0.0000066,0.005075,0.000014
5,1600,0.0026194,0.0000036,0.005077,0.00001
5,4000,0.0026213,0.0000026,0.005072,0.000011
5,10000,0.0026156,0.0000013,0.005072,0.00001
5,25000,0.002615,0.0000014,0.0050729,0.0000086
0,640,0.0021763,0.000009,0.0036446,0.0000056
0,1600,0.0021772,0.000006,0.0036443,0.0000027
0,4000,0.0021795,0.0000041,0.0036421,0.0000038
0,10000,0.0021774,0.0000024,0.0036425,0.0000049
0,25000,0.0021747,0.0000011,0.0036398,0.0000051
