flux,box_size,dist,mass
927146.1955,254.3559872,127.1779936,10
890635.019,254.3417547,127.1708773,9.9
857036.8725,254.341936,127.170968,9.8
823955.0858,254.3421943,127.1710971,9.7
793135.9042,254.3424033,127.1712017,9.6
762592.0798,254.3426546,127.1713273,9.5
734504.8423,254.3429091,127.1714545,9.4
707751.1254,254.3431486,127.1715743,9.3
681256.1109,254.3434061,127.1717031,9.2
656346.0444,254.3436538,127.1718269,9.1
633104.9017,254.3439632,127.1719816,9
609936.5628,254.3442026,127.1721013,8.9
587640.2069,254.3445212,127.1722606,8.8
566233.046,254.3448084,127.1724042,8.7
545639.6678,254.3451645,127.1725822,8.6
525443.3219,254.3454953,127.1727477,8.5
506252.3011,254.4948138,127.2474069,8.4
487489.4659,254.3462375,127.1731188,8.3
470008.9293,254.3465892,127.1732946,8.2
462754.3324,254.3470858,127.1735429,8.1
445797.2677,254.5130792,127.2565396,8
429456.9678,254.347868,127.173934,7.9
413760.4129,254.3482648,127.1741324,7.8
398652.2024,254.3487825,127.1743912,7.7
384123.4617,254.4173555,127.2086778,7.6
370111.5523,253.8093122,126.9046561,7.5
356487.63,254.4810594,127.2405297,7.4
343530.5029,255.0658948,127.5329474,7.3
316316.5998,247.8349505,123.9174752,7.2
309163.7247,254.4288941,127.2144471,7.1
302130.3778,254.4303415,127.2151707,7
295295.4188,254.5012123,127.2506062,6.9
288627.7467,254.433333,127.2166665,6.8
282129.2052,254.4345462,127.2172731,6.7
275630.1016,254.436262,127.218131,6.6
269416.7466,254.4377591,127.2188795,6.5
263376.811,247.9665145,123.9832573,6.4
257390.5638,247.9972751,123.9986376,6.3
251577.0397,252.6213071,126.3106536,6.2
245854.0065,248.0135846,124.0067923,6.1
236400.0465,248.0575239,124.0287619,6
227300.7517,252.618173,126.3090865,5.9
218570.2985,252.6201478,126.3100739,5.8
210129.5831,247.9292325,123.9646163,5.7
202041.5421,247.85708,123.92854,5.6
194255.2774,252.6363119,126.318156,5.5
186750.9496,252.6021078,126.3010539,5.4
182535.794,247.9673489,123.9836745,5.3
178401.698,248.0481722,124.0240861,5.2
174325.8134,252.6377075,126.3188537,5.1
170400.5422,252.6334207,126.3167103,5
248519.9168,247.7858731,123.8929365,4.9
242908.6771,247.9706455,123.9853228,4.8
237403.2487,248.0166034,124.0083017,4.7
232060.6523,247.9419667,123.9709833,4.6
218259.9677,254.6442946,127.3221473,4.5
205273.3003,247.9794943,123.9897472,4.4
193150.6701,250.4719141,125.2359571,4.3
181724.6168,252.6310455,126.3155227,4.2
170942.9686,252.6333644,126.3166822,4.1
160789.262,252.6181038,126.3090519,4
168811.5177,247.8041635,123.9020817,3.9
162697.5008,252.6385607,126.3192803,3.8
156860.6692,252.6179306,126.3089653,3.7
151196.1118,247.8991699,123.949585,3.6
145724.8797,248.360639,124.1803195,3.5
150293.5107,248.072207,124.0361035,3.4
130973.0674,255.4786549,127.7393274,3.3
114105.3359,252.5656424,126.2828212,3.2
99358.44939,248.5393443,124.2696721,3.1
86537.23392,251.6269223,125.8134612,3
75357.58044,251.6432071,125.8216036,2.9
65650.99523,251.6614012,125.8307006,2.8
63683.16206,251.6658441,125.8329221,2.7
61750.32575,251.67074,125.83537,2.6
59884.23739,252.6195792,126.3097896,2.5
57772.09156,251.6814637,125.8407319,2.4
50097.62697,253.4222927,126.7111463,2.3
43479.65427,216.2939201,108.14696,2.2
33899.676,248.6107083,124.3053542,2.1
29960.07512,248.6307907,124.3153953,2
24613.56833,150.7541002,75.37705012,1.9
36933.09895,198.6613702,99.3306851,1.8
29129.77414,199.0091892,99.50459462,1.7
27120.64332,216.4733782,108.2366891,1.6
20229.98476,170.1296746,85.06483729,1.5
19179.36077,179.7883487,89.89417436,1.4
15120.70563,151.6853158,75.84265791,1.3
11210.70479,86.37067622,43.18533811,1.2
7990.562518,62.34638126,31.17319063,1.1
6367.416643,103.8925506,51.94627529,1
4117.980781,51.12273987,25.56136994,0.9
3939.712223,52.55001005,26.27500503,0.8
2698.416769,51.4333436,25.7166718,0.7
1046.477108,27.12953968,13.56476984,0.6
727.6929275,27.40087693,13.70043846,0.5
537.6169065,21.17919258,10.58959629,0.4
201.0127308,20.96270907,10.48135453,0.3
96.41247775,0,0,0.2
26.95062209,0,0,0.1
