Angle,Mass,SNCS Tot,SNCS Tot Err,SNCS > 2,SNCS > 2 Err,SNCS 2 - 0.5,SNCS 2 - 0.5 Err,SNCS 0.5 - 0.08,SNCS 0.5 - 0.08 Err,SNFS Tot,SNFS Tot Err,SNFS > 2,SNFS > 2 Err,SNFS 2 - 0.5,SNFS 2 - 0.5 Err,SNFS 0.5 - 0.08,SNFS 0.5 - 0.08 Err
180,640,1326,0,43,0,292,0,991,0,687,22,1.2,0.92,125.2,6.3,560,24
180,1600,2777,0,105,0,521,0,2151,0,697,27,1.2,1.2,122,11,574,36
180,4000,6521,0,261,0,1284,0,4976,0,684,21,0.9,0.99,127.2,5.7,556,22
180,10000,16949,0,646,0,3403,0,12900,0,689,23,1.1,0.88,124.3,7.7,563,29
180,25000,40417,0,1592,0,8217,0,30608,0,678,25,1.2,0.63,123.8,6,553,29
25,640,1322,0,44,0,293,0,985,0,19730,161,33.9,5.3,3588,37,16108,187
25,1600,2777,0,106,0,525,0,2146,0,19809,151,33.5,5.1,3558,52,16217,186
25,4000,6528,0,262,0,1287,0,4979,0,19809,97,33.8,6.1,3558,49,16217,119
25,10000,16930,0,648,0,3388,0,12894,0,19690,180,32.4,8.2,3608,34,16050,188
25,25000,40453,0,1599,0,8198,0,30656,0,19845,164,31.9,2.4,3575,28,16238,187
10,640,1326,0,44,0,293,0,989,0,47660,171,79.7,7.6,8547,62,39033,215
10,1600,2775,0,106,0,523,0,2146,0,47606,167,82.5,8.8,8510,70,39014,202
10,4000,6518,0,262,0,1284,0,4972,0,47819,113,76.5,8.6,8475,36,39268,135
10,10000,16946,0,647,0,3395,0,12904,0,47765,195,74.6,6.7,8484,55,39206,242
10,25000,40432,0,1593,0,8202,0,30637,0,47652,255,76.3,9.6,8521,64,39054,298
5,640,1328,0,43,0,293,0,992,0,67394,184,99.7,9.2,11600,66,55695,217
5,1600,2777,0,106,0,522,0,2149,0,67521,188,90.8,7.8,11612,77,55819,242
5,4000,6517,0,262,0,1283,0,4972,0,67488,308,84.6,6.7,11614,79,55790,371
5,10000,16953,0,647,0,3402,0,12904,0,67468,264,94,11,11614,76,55760,289
5,25000,40406,0,1590,0,8207,0,30609,0,67524,319,92.7,8.4,11581,74,55850,365
0,640,1326,0,43,0,292,0,991,0,351322,452,96.6,9.1,50872,171,300353,571
0,1600,2777,0,105,0,521,0,2151,0,351223,445,97,11,50918,148,300208,583
0,4000,6521,0,261,0,1284,0,4976,0,351228,318,96,7.5,50900,133,300232,428
0,10000,16950,0,646,0,3403,0,12901,0,351069,343,94.8,9.9,50917,159,300057,468
0,25000,40418,0,1592,0,8217,0,30609,0,351156,418,93.5,7.6,50967,162,300096,550
